Site,SubCatch,Slope,Elevation,LC,SAR,Area,CV,HV,HError,Rate
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0,1
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.003309693696017,2
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.003309693696017,7
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.003309693696017,15
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.035655747701907,21
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.003309693696017,30
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.003309693696017,45
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.003309693696017,50
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.083537986203325,60
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.093476895943542,75
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.003309693696017,90
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.116414590641748,100
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.135626320339502,125
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.142466295831505,150
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.003309693696017,182
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.160009458080668,200
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.003309693696017,250
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.003309693696017,300
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.003309693696017,330
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.196000283745044,365
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.20116214806872,550
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.198872676567412,640
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.207452460883493,730
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.206618820728542,1000
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.206517037870578,1500
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.214574316539516,2000
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.003309693696017,2250
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.215139281878939,3000
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.003309693696017,3182
1,1,1.20389807224274,8.93668937683106,319.676414112622,1.00025355815887,1648125,167,211,0.003309693696017,3652
1,2,2.6019868850708,35.8129463195801,653.589955734179,1.00056385993958,3954375,0,223,,
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0,1
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.003211905552025,2
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.003211905552025,7
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.003211905552025,15
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.025336677866337,21
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.003211905552025,30
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.003211905552025,45
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.003211905552025,50
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.060891712053167,60
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.070078363296826,75
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.003211905552025,90
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.092021685419061,100
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.115055675306886,125
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.146999419959555,150
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.003211905552025,182
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.191282810557333,200
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.003211905552025,250
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.003211905552025,300
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.003211905552025,330
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.25794115515126,365
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.416701923264616,550
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.338393837036201,640
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.410881204530902,730
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.385474687023204,1000
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.48138111341195,1500
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.591623034611234,2000
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.003211905552025,2250
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.571398457183342,3000
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.003211905552025,3182
1,3,3.14633369445801,46.627326965332,666.589391704477,1.00075697898865,6120000,0,126,0.003211905552025,3652
1,4,0.827363789081574,7.6747841835022,693.148994505108,1.00016701221466,2480625,393,163,0,1
